feature,test,p_value,r2_baseline,r2_model,delta_r2,extra
width__ACONT,linear_baseline,,0.8902693660094423,0.8902693660094423,0.0,
width__ACONT,piecewise_linear,0.0,0.8902693660094423,0.9426475445242393,0.05237817851479698,breakpoint=1973.7891
width__ACONT,polynomial_d2,0.0,0.8902693660094423,0.9385022329707826,0.048232866961340326,
width__12DGR120tipp,linear_baseline,,0.20370687408884958,0.20370687408884958,0.0,
width__12DGR120tipp,piecewise_linear,7.382983113757291e-14,0.20370687408884958,0.3702462543739702,0.1665393802851206,breakpoint=3.0556
width__12DGR120tipp,polynomial_d2,0.0009798193630586871,0.20370687408884958,0.23916924014472796,0.03546236605587838,
width__ADCS,linear_baseline,,0.17839555414508268,0.17839555414508268,0.0,
width__ADCS,piecewise_linear,0.0,0.17839555414508268,0.6030212731497739,0.42462571900469126,breakpoint=0.0000
width__ADCS,polynomial_d2,4.064651119739526e-05,0.17839555414508268,0.234408979663988,0.05601342551890531,
