metric,value
rmse,0.03374483554935124
mae,0.0037894406165227624
r2,0.9062314045161143
residual_mean,-0.0009135567549274204
residual_std,0.03373246715418671
residual_p10,-6.994220728218092e-05
residual_p90,7.578997526840327e-05
