class,precision,recall,f1
N_limited,1.0,0.9523809523809523,0.975609756097561
Ac_limited,1.0,1.0,1.0
O2_limited,0.9952830188679245,1.0,0.9976359338061466
macro_avg,0.9984276729559749,0.9841269841269842,0.9910818966345691
