Exchange,Flux,Secretion_Rate
EX_co2_e,1000.0,1000.0
EX_ac_e,1000.0,1000.0
EX_h2o_e,707.2782047095021,707.2782047095021
EX_nh4_e,541.859147275852,541.859147275852
EX_h_e,487.8064918355933,487.8064918355933
EX_succ_e,36.84721223513102,36.84721223513102
EX_pi_e,30.701436833406003,30.701436833406003
EX_h2s_e,17.319883690194274,17.319883690194274
